dept,ctc
WATER MGMNT,81000
POLICE,74628
FLEET MANAGEMNT,77280
WATER MGMNT,96276
WATER MGMNT,84032
POLICE,79926
FIRE,77238
FAMILY & SUPPORT,2756
FAMILY & SUPPORT,38568
TRANSPORTN,84032
POLICE,71040
FIRE,86922
POLICE,67704
FIRE,64374
WATER MGMNT,81000
FIRE,83148
POLICE,15319
POLICE,82878
FLEET MANAGEMNT,84032
POLICE,77238
POLICE,77238
POLICE,105018
STREETS & SAN,70408
REVENUE,73216
FAMILY & SUPPORT,91260
FAMILY & SUPPORT,69684
WATER MGMNT,96276
BUSINESS AFFAIRS,84888
COMMUNITY DEVELOPMENT,102060
OEMC,51216
STREETS & SAN,65894
POLICE,82878
FIRE,114498
FIRE,71082
WATER MGMNT,81182
STREETS & SAN,67808
WATER MGMNT,64248
TRANSPORTN,84968
HEALTH,53340
FAMILY & SUPPORT,2756
FIRE,79926
POLICE,77238
POLICE,79926
ENVIRONMENT,60708
WATER MGMNT,80808
POLICE,81090
WATER MGMNT,73216
POLICE,74628
POLICE,82878
POLICE,77238
STREETS & SAN,97416
STREETS & SAN,71469
WATER MGMNT,40019
POLICE,60918
POLICE,74628
POLICE,77238
POLICE,82878
HEALTH,48108
POLICE,74628
FIRE,83148
FIRE,103704
POLICE,74628
TRANSPORTN,73216
POLICE,79926
WATER MGMNT,70408
GENERAL SERVICES,70408
FIRE,77238
POLICE,86508
BUSINESS AFFAIRS,80916
POLICE,77238
AVIATION,53628
POLICE,77238
POLICE,74628
TRANSPORTN,73216
POLICE,79926
POLICE,74628
POLICE,77238
LAW,87900
POLICE,79926
FIRE,77238
TRANSPORTN,73216
POLICE,15319
STREETS & SAN,65894
POLICE,79926
POLICE,77238
PUBLIC LIBRARY,57264
POLICE,77238
STREETS & SAN,65894
AVIATION,51216
STREETS & SAN,73848
GENERAL SERVICES,73216
WATER MGMNT,73216
POLICE,43104
POLICE,74628
STREETS & SAN,65894
ADMIN HEARNG,67224
TRANSPORTN,70408
STREETS & SAN,74277
REVENUE,63440
FIRE,79926
AVIATION,38584
POLICE,74628
POLICE,86508
FIRE,64374
POLICE,82878
FIRE,69210
AVIATION,70408
POLICE,16806
POLICE,98766
POLICE,79926
REVENUE,73216
FIRE,67596
HEALTH,61308
HEALTH,67296
STREETS & SAN,65894
HEALTH,71989
POLICE,82878
POLICE,77238
CULTURAL AFFAIRS,73752
POLICE,88140
POLICE,74628
TRANSPORTN,73216
WATER MGMNT,42264
STREETS & SAN,65894
AVIATION,58860
BUSINESS AFFAIRS,61308
TRANSPORTN,73216
POLICE,82878
POLICE,86508
POLICE,79926
COMMUNITY DEVELOPMENT,53340
FAMILY & SUPPORT,67296
PUBLIC LIBRARY,11471
GENERAL SERVICES,84032
POLICE,55872
POLICE,86508
GENERAL SERVICES,40019
LAW,67296
STREETS & SAN,17602
WATER MGMNT,40019
FIRE,92778
BUILDINGS,93840
BUILDINGS,91104
POLICE,43104
PUBLIC LIBRARY,73932
BUSINESS AFFAIRS,80916
POLICE,77238
POLICE,77238
FIRE,107064
POLICE,74628
WATER MGMNT,48576
POLICE,74628
AVIATION,44580
TRANSPORTN,73216
WATER MGMNT,70408
PUBLIC LIBRARY,11471
PUBLIC LIBRARY,57264
POLICE,107820
POLICE,43104
POLICE,98766
BUILDINGS,93120
FINANCE,102060
POLICE,77238
HEALTH,67224
OEMC,18886
TRANSPORTN,21840
